term,rel_poisson,rel_nb2,rel_ratio_nb_over_pois,se_poisson,se_quasi,se_nb2,z_poisson,z_quasi,z_nb2,p_poisson,p_quasi,p_nb2,sig_poisson_5pct,sig_quasi_5pct,sig_nb2_5pct
C(VehBrand)[T.B10],1.0491674527721302,1.0494838998570541,1.0003016173291381,0.040823285023317044,0.06207699475354558,0.042031411060494066,1.1757247734249299,0.7731841356859399,1.14910535163244,0.23970487570303223,0.4394134135528587,0.2505125419384753,False,False,False
C(VehBrand)[T.B11],1.0927702608004244,1.0939980409413101,1.0011235482744438,0.044464883845773795,0.06761450872056335,0.0458710167269425,1.9951923412051547,1.312085192666405,1.9585114889192146,0.0460219060401299,0.18949139149916938,0.05017002425718298,True,False,False
C(VehBrand)[T.B12],1.158319296668121,1.1618837380078262,1.003077252835171,0.020391382252115117,0.031007689076444602,0.021025475112192507,7.207460017852487,4.739794440293013,7.13622875458798,5.699885008425554e-13,2.1393514524348234e-06,9.592326932761353e-13,True,True,True
C(VehBrand)[T.B13],1.0637564338437877,1.0608380845652832,0.9972565625121915,0.04555628349980568,0.06927412064446074,0.04705157196690182,1.3567052534959358,0.8922011362821783,1.2552023041031295,0.17487488256144879,0.37228513325985446,0.2094053293305036,False,False,False
C(VehBrand)[T.B14],0.9171435844429274,0.9141728205746489,0.9967608519334702,0.08562462743583253,0.13020313149891094,0.0878893826856042,-1.0101210473852005,-0.6642792485230985,-1.021006645718957,0.31243729951961785,0.5065116000684591,0.30725129011364993,False,False,False
C(VehBrand)[T.B2],0.9846561467071044,0.9846157884728474,0.9999590128651591,0.017180841430994794,0.02612565360098261,0.01770260462564685,-0.9000018104807072,-0.5918622603530075,-0.8757906927352637,0.3681192872098811,0.5539428273635483,0.3811438307203876,False,False,False
C(VehBrand)[T.B3],0.9925764347485385,0.9907163544852287,0.9981260080350577,0.024536611076048785,0.03731103648733035,0.025314433762768124,-0.30367914386785294,-0.19970651438544693,-0.36844620808414463,0.7613723488443764,0.8417101186657454,0.7125405479202136,False,False,False
C(VehBrand)[T.B4],0.9903997514393222,0.9918535729770176,1.0014679138757685,0.033325927488669006,0.050676309480962266,0.034333263425826634,-0.28946315222904156,-0.1903577454757351,-0.23824680971917903,0.7722269737438294,0.849028806436428,0.811689673250594,False,False,False
C(VehBrand)[T.B5],1.0517144086810037,1.0540117758374419,1.002184402093834,0.028041967349734576,0.04264137633838871,0.02894813242431182,1.798076511285017,1.1824572082675975,1.8171680924698221,0.07216488390337039,0.2370243351591692,0.06919137902139738,False,False,False
C(VehBrand)[T.B6],0.9850174442472637,0.9865090064821975,1.0015142495634417,0.03185502016046078,0.04843960789156346,0.032800401693501804,-0.4738947894280334,-0.3116443077937574,-0.4141054111002733,0.6355749350745425,0.7553108572393041,0.6787969101283367,False,False,False
